RESIDENCY_GROUP_DESCR,ACADEMIC_YEAR,TERM,TERM_DESCR,ACADEMIC_CAREER_DESCR,ACAD_PROG,ACADEMIC_PROGRAM_DESCR,COURSE_ID,OFFER_NUMBER,FACULTY,FACULTY_DESCR,SCHOOL,SCHOOL_NAME,COURSE_NAME,COURSE_CODE,CATALOG_NUMBER,CRSE_ATTR,MASKED_ID
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,MFAC3501,3501,WILC,1640369
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,MFAC3505,3505,WILC,1640369
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,MFAC3503,3503,WILC,1640369
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,MFAC3508,3508,WILC,1640369
Local,2024,5246,2024 Term 2,Undergraduate,3521,Commerce/Economics,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,COMM2233,2233,WILC,1657585
Local,2024,5243,2024 Term 1,Undergraduate,3768,Eng (Hons) / MBiomedE,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,ENGG4999,4999,WILC,1649221
Local,2024,5243,2024 Term 1,Undergraduate,4526,Fine Arts (Honours),65765,1,ADA,"Faculty of Arts, Design and Architecture",COFAS,School of Art & Design,Honours PEP,ADAD4100,4100,WILC,1638524
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,MFAC3501,3501,WILC,1634746
Local,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,MFAC3504,3504,WILC,1634746
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,MFAC3505,3505,WILC,1634746
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,MFAC3503,3503,WILC,1634746
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,MFAC3502,3502,WILC,1634746
Local,2024,5246,2024 Term 2,Undergraduate,4787,Social Work (Honours) / Law,65524,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,Social Work Placement  Lvl 4 A,SOCW4017,4017,WILC,1657452
Local,2024,5249,2024 Term 3,Undergraduate,4787,Social Work (Honours) / Law,65522,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,Social Work Placement Lvl 4 B,SOCW4018,4018,WILC,1657452
Local,2024,5243,2024 Term 1,Undergraduate,3584,Commerce / Information Systems,65270,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Experience Program,COMM2222,2222,WILC,1645489
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,MFAC3503,3503,WILC,1650651
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,MFAC3502,3502,WILC,1650651
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,MFAC3501,3501,WILC,1650651
